RecordTime,Battery(V),Rate,Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13
41016.34306,10.3,Normal,35.01,40.66,42.26,54.05,41.66,43.85,42.65,12.02,44.75,55.05,51.64,55.65,55.85,53.04
41016.34375,10.3,Normal,34.52,40.86,41.46,54.25,41.46,43.85,42.65,12.12,44.75,54.45,51.74,55.65,56.35,52.94
41016.34444,10.4,Normal,34.32,40.86,40.57,54.35,41.26,43.85,42.65,12.51,44.75,54.95,51.64,55.55,55.75,52.74
41016.34583,10.4,Normal,33.62,40.76,39.17,53.64,41.36,43.95,42.75,12.22,44.85,54.85,51.74,55.55,55.75,52.74
41016.375,10.5,Normal,33.82,43.65,37.49,54.35,40.27,44.15,43.25,15.44,45.74,53.84,53.04,55.75,57.66,52.94
41016.41667,10.5,Normal,37.49,42.95,42.26,54.75,44.25,44.35,43.45,20.72,47.94,56.25,52.74,56.15,57.86,54.05
41016.45833,10.5,Normal,45.74,43.95,49.04,55.25,46.24,44.95,43.75,24.95,48.64,56.66,53.74,56.45,57.96,53.84
41016.46667,10.4,Normal,47.94,45.24,51.34,54.95,46.74,44.85,43.55,28.39,48.54,56.45,53.64,56.76,58.26,53.74
41016.46736,10.4,Normal,48.54,45.14,51.44,54.45,46.84,45.04,43.65,28.79,48.64,56.05,53.24,56.76,58.16,53.74
41016.46806,10.4,Burst,48.74,45.84,50.64,54.05,46.94,45.04,43.65,26.52,48.64,56.66,53.64,56.76,58.47,54.05
41016.46875,10.4,Burst,48.44,45.84,50.94,55.25,47.04,45.04,43.55,25.73,48.74,56.35,53.44,56.76,57.76,53.74
41016.5,10.5,Normal,46.74,44.05,49.24,52.04,46.54,45.44,44.25,24.65,49.04,55.85,53.24,56.96,58.57,54.45
41016.50347,10.5,Burst,47.64,44.15,50.74,54.85,46.34,45.44,43.85,28.59,49.04,55.55,53.04,57.06,58.57,54.65
41016.50694,10.5,Burst,48.54,45.14,50.94,55.65,46.64,46.24,44.25,25.54,49.14,56.86,52.94,57.06,58.77,55.05
41016.51042,10.4,Burst,48.84,45.54,50.24,52.34,46.94,46.14,43.85,30.36,49.24,55.55,54.25,57.16,58.47,54.65
41016.51389,10.5,Burst,47.24,45.44,50.24,52.94,46.94,46.64,44.25,29.38,49.34,56.96,54.65,57.16,57.96,54.95
41016.58333,10.6,Normal,46.14,45.74,49.84,57.36,47.24,46.14,44.85,23.47,49.84,55.75,51.54,57.16,56.56,51.84
41016.625,10.6,Normal,44.25,46.64,47.34,55.15,47.44,45.34,45.24,23.77,49.94,53.34,52.74,57.16,57.46,52.54
41016.66667,10.6,Normal,48.74,45.64,52.04,54.65,46.94,44.15,44.75,20.72,50.64,57.26,54.15,56.66,54.65,51.84
41016.70833,10.5,Normal,45.94,43.85,49.64,54.15,46.34,43.85,44.35,22.69,50.24,54.55,50.84,56.35,57.76,52.54
41016.75,10.5,Normal,43.15,45.04,48.24,54.25,45.74,43.15,43.75,19.94,49.54,53.84,50.94,56.05,55.25,51.24
