Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
41016,11.7,5.6,0,30,24,14,93,56,28,0,40,11,7,25,0
41017,8.9,4.4,1.1,37,31,20,100,73,44,0,40,15,8,23,0
41018,14.4,7.8,2.2,42,40,36,100,82,52,0,40,13,8,26,0.01
41019,21.1,12.8,3.9,43,34,19,94,53,16,0,40,7,4,19,0
41020,22.2,15.6,8.3,33,25,14,51,30,11,0,40,13,6,22,0
41021,23.9,16.7,7.8,33,26,16,53,29,11,0,40,13,6,25,0
41022,23.3,14.4,10,44,32,18,77,40,12,0,40,14,4,31,0.04
41023,18.9,12.2,7.8,37,30,20,67,43,20,0,40,12,5,24,0.04
41024,13.3,7.8,3.3,41,35,25,97,68,32,0,40,14,7,23,0.04
41025,5.6,2.8,-1.7,42,32,19,100,86,48,0,40,24,12,39,0.53
41026,10,1.7,-5.6,23,18,7,97,57,20,0,40,13,7,19,0.01
41027,14.4,6.1,-0.6,30,26,-100,85,54,30,0,40,11,6,20,0
41028,16.1,9.4,3.3,30,26,16,67,44,17,0,40,11,5,19,0
41029,13.9,10,5.6,35,31,27,63,49,33,0,40,22,12,38,0
41030,13.9,6.7,0,32,22,7,90,48,22,0,40,17,10,35,0
41031,12.8,5.6,-2.8,26,21,15,77,47,20,0,40,11,6,23,0
41032,8.3,3.9,1.7,35,27,19,85,63,42,0,40,16,10,31,0
41033,4.4,1.7,-2.2,32,28,21,99,78,48,0,40,16,8,28,0.06
41034,9.4,2.2,-5.6,27,15,-100,93,50,16,0,40,17,7,24,0.06
41035,13.9,6.1,0,19,15,9,53,34,16,0,40,20,9,30,0
41036,16.1,8.9,1.1,19,6,-2,46,22,8,0,40,14,7,25,0
41037,21.1,13.3,5.6,16,8,-1,32,16,7,0,40,10,5,22,0
41038,22.8,14.4,6.7,27,21,4,44,25,11,0,40,14,7,26,0
41039,14.4,8.3,0,25,2,-21,55,21,7,0,40,27,12,40,0
41040,17.8,10,2.2,8,3,-5,21,15,9,0,40,11,6,24,0
41041,20,12.2,5.6,12,4,-100,26,15,7,0,40,9,6,20,0
41042,22.8,16.1,9.4,12,5,-3,17,11,7,0,40,16,10,28,0
41043,24.4,17.8,12.2,33,7,-6,45,12,6,0,40,17,11,38,0
41044,24.4,17.2,10.6,38,22,14,45,21,10,0,40,15,10,30,0.07
41045,22.8,16.7,11.7,31,21,4,42,23,9,0,40,15,10,29,0.07
41046,16.1,9.4,2.2,44,30,20,94,52,28,0,40,21,9,36,0.07
41047,15.6,7.8,0.6,33,18,5,85,38,12,0,40,17,9,26,0.05
41048,20,11.7,2.2,27,15,-100,42,25,13,0,40,11,4,20,0
41049,22.8,15,6.7,34,28,23,56,34,17,0,40,9,3,22,0
41050,20,14.4,8.9,37,28,14,57,34,14,0,40,15,8,34,0
41051,15,9.4,4.4,38,28,18,92,49,21,0,40,23,13,38,0
41052,11.1,5,0,31,23,17,81,52,25,0,40,17,11,27,0
41053,11.7,3.9,-1.7,30,22,12,99,57,20,0,40,20,10,36,0
41054,6.1,0.6,-3.9,33,27,21,99,81,49,0,40,20,10,32,0.09
41055,7.2,2.8,0,33,29,23,99,75,42,0,40,29,19,44,0.02
41056,12.8,5,-1.1,33,27,20,99,64,26,0,40,11,5,26,0.01
41057,17.2,9.4,0,34,24,10,86,45,12,0,40,12,5,29,0
41058,20,11.7,2.8,35,25,14,79,42,12,0,40,11,5,21,0
41059,23.3,16.7,8.3,27,22,10,41,24,9,0,40,15,8,22,0
41060,25.6,18.9,12.8,33,25,20,33,22,12,0,40,15,9,23,0
41061,28.3,20.6,13.9,37,31,20,46,27,10,0,40,16,7,32,0
41062,22.8,16.7,10,44,34,-100,61,39,19,0,40,14,9,29,0
41063,22.2,15.6,8.3,41,36,32,71,45,25,0,40,14,7,29,0
41064,15,7.8,0,45,38,27,99,75,49,0,40,20,10,32,0.09
41065,5.6,1.1,-1.7,31,27,19,99,80,43,0,40,18,12,30,0.15
41066,14.4,6.1,-0.6,25,19,10,74,43,15,0,40,10,6,17,0.02
41067,16.1,10,2.8,38,24,13,73,39,20,0,40,16,10,28,0
41068,14.4,8.9,3.3,39,21,3,88,45,11,0,40,18,11,32,0
41069,12.2,4.4,-2.8,26,17,6,77,44,14,0,40,20,10,31,0
41070,17.2,10,1.1,21,12,3,48,25,11,0,40,10,5,19,0
41071,22.8,15,6.7,18,9,3,22,14,8,0,40,10,6,16,0
41072,23.3,17.2,9.4,37,26,18,53,27,15,0,40,14,7,28,0
41073,24.4,16.7,10,40,26,7,61,32,9,0,40,16,10,25,0
41074,25.6,17.8,10.6,26,19,11,28,19,11,0,40,18,9,29,0
41075,24.4,17.2,10,24,19,16,27,19,11,0,40,22,13,33,0
41076,26.7,17.8,9.4,21,14,-100,29,16,6,0,40,18,9,26,0
41077,29.4,22.2,13.9,34,23,15,27,17,10,0,40,22,10,34,0
41078,21.1,15.6,8.9,41,26,6,56,29,8,0,40,24,14,40,0
41079,17.2,10.6,2.2,24,13,1,54,26,8,0,40,16,10,31,0
41080,22.8,15.6,5,15,12,7,30,17,8,0,40,14,9,23,0
41081,27.2,20,11.7,19,14,9,21,13,8,0,40,14,7,28,0
41082,18.3,11.1,5,33,21,7,69,32,10,0,40,13,8,34,0
41083,15.6,8.3,2.2,35,24,1,79,47,13,0,40,16,7,32,0
41084,19.4,10,0.6,31,22,9,75,37,14,0,40,15,7,28,0
41085,17.8,10.6,3.9,27,18,7,55,28,12,0,40,13,8,27,0
41086,18.3,9.4,0.6,32,16,-1,88,39,7,0,40,13,6,23,0
41087,23.3,15.6,6.7,21,8,1,26,13,6,0,40,12,7,23,0
41088,23.3,15.6,8.9,30,15,10,44,18,9,0,40,12,7,26,0
41089,24.4,16.7,6.1,31,21,15,50,24,10,0,40,10,7,33,0
41090,24.4,17.8,8.9,42,30,13,64,32,10,0,40,12,6,24,0
41091,23.9,16.1,10.6,46,39,28,78,48,19,0,40,16,7,24,0
41092,27.8,20,12.8,41,34,23,51,32,12,0,40,13,10,26,0
41093,25,16.7,7.2,44,28,3,84,37,9,0,40,16,8,29,0
41094,26.1,18.9,10,28,15,5,29,15,6,0,40,15,7,21,0
41095,24.4,17.2,8.9,34,23,7,58,26,8,0,40,9,6,19,0
41096,26.7,19.4,10.6,38,22,9,54,22,9,0,40,10,6,27,0
41097,28.9,22.8,13.9,24,18,4,25,14,5,0,40,13,6,22,0
41098,30.6,24.4,16.7,28,20,8,26,14,5,0,40,18,9,40,0
41099,28.9,21.7,14.4,32,15,-6,35,15,3,0,40,11,5,25,0
41100,31.1,23.9,16.7,20,15,6,19,11,6,0,40,11,6,33,0
41101,30.6,21.7,13.9,33,13,-26,31,14,1,0,40,11,5,25,0
